product_id,name,price,image_url,mood_tags
1,Wireless Bluetooth Headphones,99.99,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=300,"entertainment, music, joy, fun"
2,Aromatherapy Essential Oil Set,45.5,https://images.unsplash.com/photo-1544947950-fa07a98d237f?w=300,"comfort, relaxation, healing, calming"
3,Fitness Resistance Bands,29.99,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=300,"stress-relief, physical, powerful, energizing"
4,LED Color-Changing Light Strip,35.0,https://images.unsplash.com/photo-1558618047-b00a1d6968c5?w=300,"unique, colorful, exciting, innovative"
5,Personal Security Alarm,19.99,https://images.unsplash.com/photo-1558618047-b00a1d6968c5?w=300,"safety, security, protective, reassuring"
6,Organic Face Cleanser,24.99,https://images.unsplash.com/photo-1556228578-0d85b1a4d814?w=300,"cleansing, fresh, pure, detox"
7,Multi-Purpose Backpack,59.99,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=300,"practical, everyday, functional, versatile"
8,Cozy Weighted Blanket,89.99,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=300,"comfort, cozy, soft, warm, calming"
9,Bluetooth Party Speaker,149.99,https://images.unsplash.com/photo-1558618047-b00a1d6968c5?w=300,"entertainment, social, celebration, fun, loud"
10,Mindfulness Journal,16.99,https://images.unsplash.com/photo-1544947950-fa07a98d237f?w=300,"self-care, mindful, peaceful, reflection, growth"
